model_name,datasets_id,accuracy,nofire_as_nofire,fire_as_nofire,nofire_as_fire,fire_as_fire,nofire_precision,nofire_recall,nofire_f1-score,nofire_support,fire_precision,fire_recall,fire_f1-score,fire_support
model_cairfire_fismo_002.h5,cairfire_fismo,0.7954807850898895,3426,633,607,1397,0.8494916935283908,0.8440502586844051,0.8467622343054868,4059,0.6881773399014778,0.6971057884231537,0.6926127912741695,2004
model_cairfire_fismo_003.h5,cairfire_fismo,0.8027379185221838,3496,563,633,1371,0.8466941147977719,0.8612958856861296,0.8539325842696629,4059,0.7088934850051706,0.6841317365269461,0.6962925342813611,2004
model_cairfire_fismo_004.h5,cairfire_fismo,0.8004288306119083,3513,546,664,1340,0.8410342350969595,0.8654841093865484,0.8530840213695969,4059,0.7104984093319194,0.6686626746506986,0.6889460154241646,2004
model_cairfire_fismo_005.h5,cairfire_fismo,0.8055418109846608,3590,469,710,1294,0.8348837209302326,0.8844542990884454,0.8589544203852135,4059,0.7339761769710721,0.6457085828343313,0.6870188478895672,2004
model_cairfire_fismo_006.h5,cairfire_fismo,0.7999340260597064,3537,522,691,1313,0.8365657521286659,0.8713968957871396,0.8536261614577049,4059,0.7155313351498638,0.6551896207584831,0.6840323000781454,2004
model_cairfire_fismo_007.h5,cairfire_fismo,0.7656275771070428,3310,749,672,1332,0.8312405826217981,0.8154717910815472,0.8232806864817809,4059,0.6400768861124461,0.6646706586826348,0.6521419828641372,2004
model_cairfire_fismo_009.h5,cairfire_fismo,0.793336632030348,3597,462,791,1213,0.8197356426618049,0.8861788617886179,0.8516633124186103,4059,0.7241791044776119,0.6052894211576846,0.6594183201957053,2004
model_cairfire_self_000.h5,cairfire_self,0.9019607843137256,48,3,7,44,0.8727272727272727,0.9411764705882352,0.9056603773584904,51,0.9361702127659576,0.8627450980392157,0.8979591836734694,51
model_cairfire_self_001.h5,cairfire_self,0.9019607843137256,50,1,9,42,0.8474576271186439,0.9803921568627452,0.9090909090909091,51,0.9767441860465116,0.8235294117647058,0.8936170212765957,51
model_cairfire_self_002.h5,cairfire_self,0.8921568627450981,51,0,11,40,0.8225806451612904,1.0,0.9026548672566372,51,1.0,0.7843137254901961,0.8791208791208792,51
model_cairfire_self_003.h5,cairfire_self,0.9215686274509804,50,1,7,44,0.8771929824561403,0.9803921568627452,0.925925925925926,51,0.9777777777777776,0.8627450980392157,0.9166666666666664,51
model_cairfire_self_004.h5,cairfire_self,0.9215686274509804,51,0,8,43,0.8644067796610171,1.0,0.9272727272727274,51,1.0,0.8431372549019608,0.9148936170212766,51
model_cairfire_self_005.h5,cairfire_self,0.9019607843137256,50,1,9,42,0.8474576271186439,0.9803921568627452,0.9090909090909091,51,0.9767441860465116,0.8235294117647058,0.8936170212765957,51
model_cairfire_self_006.h5,cairfire_self,0.8921568627450981,51,0,11,40,0.8225806451612904,1.0,0.9026548672566372,51,1.0,0.7843137254901961,0.8791208791208792,51
model_cairfire_self_007.h5,cairfire_self,0.9411764705882352,48,3,3,48,0.9411764705882352,0.9411764705882352,0.9411764705882352,51,0.9411764705882352,0.9411764705882352,0.9411764705882352,51
model_cairfire_self_008.h5,cairfire_self,0.8921568627450981,48,3,8,43,0.8571428571428571,0.9411764705882352,0.8971962616822429,51,0.9347826086956522,0.8431372549019608,0.8865979381443299,51
model_cairfire_self_009.h5,cairfire_self,0.9117647058823528,48,3,6,45,0.8888888888888888,0.9411764705882352,0.9142857142857144,51,0.9375,0.8823529411764706,0.9090909090909092,51
model_cairfire_firesense_000.h5,cairfire_firesense,0.8167770419426048,571,6,160,169,0.7811217510259918,0.9896013864818024,0.8730886850152905,577,0.9657142857142856,0.513677811550152,0.6706349206349208,329
model_cairfire_firesense_001.h5,cairfire_firesense,0.8443708609271523,573,4,137,192,0.8070422535211268,0.9930675909878682,0.8904428904428904,577,0.979591836734694,0.5835866261398176,0.7314285714285714,329
model_cairfire_firesense_002.h5,cairfire_firesense,0.8300220750551877,489,88,66,263,0.8810810810810811,0.8474870017331022,0.8639575971731449,577,0.7492877492877493,0.7993920972644377,0.7735294117647059,329
model_cairfire_firesense_003.h5,cairfire_firesense,0.8211920529801324,515,62,100,229,0.8373983739837398,0.8925476603119584,0.8640939597315436,577,0.7869415807560137,0.6960486322188449,0.7387096774193549,329
model_cairfire_firesense_004.h5,cairfire_firesense,0.82560706401766,541,36,122,207,0.8159879336349924,0.9376083188908144,0.8725806451612903,577,0.8518518518518519,0.6291793313069909,0.7237762237762239,329
model_cairfire_firesense_005.h5,cairfire_firesense,0.8211920529801324,508,69,93,236,0.8452579034941764,0.8804159445407279,0.8624787775891342,577,0.7737704918032787,0.7173252279635258,0.7444794952681391,329
model_cairfire_firesense_006.h5,cairfire_firesense,0.8785871964679912,577,0,110,219,0.8398835516739447,1.0,0.9129746835443038,577,1.0,0.6656534954407295,0.7992700729927007,329
model_cairfire_firesense_007.h5,cairfire_firesense,0.8112582781456954,576,1,170,159,0.7721179624664879,0.9982668977469672,0.8707482993197279,577,0.99375,0.4832826747720365,0.6503067484662577,329
model_cairfire_firesense_008.h5,cairfire_firesense,0.8366445916114791,483,94,54,275,0.8994413407821229,0.8370883882149047,0.8671454219030521,577,0.7452574525745257,0.8358662613981763,0.7879656160458451,329
model_cairfire_firesense_009.h5,cairfire_firesense,0.8576158940397351,516,61,68,261,0.8835616438356164,0.8942807625649913,0.8888888888888891,577,0.8105590062111802,0.7933130699088146,0.8018433179723502,329
