model_name,datasets_id,accuracy,nofire_as_nofire,fire_as_nofire,nofire_as_fire,fire_as_fire,nofire_precision,nofire_recall,nofire_f1-score,nofire_support,fire_precision,fire_recall,fire_f1-score,fire_support
model_fismo_self_000.h5,fismo_self,0.8697444352844188,761,51,107,294,0.8767281105990783,0.937192118226601,0.905952380952381,812,0.8521739130434782,0.7331670822942643,0.7882037533512064,401
model_fismo_self_001.h5,fismo_self,0.8746908491343776,777,35,117,284,0.8691275167785235,0.9568965517241379,0.9109026963657679,812,0.890282131661442,0.7082294264339152,0.7888888888888888,401
model_fismo_self_002.h5,fismo_self,0.875515251442704,749,63,88,313,0.8948626045400239,0.9224137931034483,0.908429351121892,812,0.8324468085106383,0.7805486284289277,0.8056628056628057,401
model_fismo_self_003.h5,fismo_self,0.8837592745259687,748,64,77,324,0.9066666666666666,0.9211822660098522,0.9138668295662797,812,0.8350515463917526,0.8079800498753117,0.8212927756653993,401
model_fismo_self_004.h5,fismo_self,0.8738664468260511,737,75,78,323,0.9042944785276074,0.9076354679802956,0.9059618930547019,812,0.8115577889447236,0.8054862842892768,0.8085106382978723,401
model_fismo_self_005.h5,fismo_self,0.8788128606760099,758,54,93,308,0.8907168037602821,0.9334975369458128,0.9116055321707758,812,0.850828729281768,0.7680798004987531,0.8073394495412844,401
model_fismo_self_006.h5,fismo_self,0.8722176422093982,763,49,106,295,0.8780207134637514,0.9396551724137931,0.907792980368828,812,0.8575581395348837,0.7356608478802993,0.7919463087248322,401
model_fismo_self_007.h5,fismo_self,0.8738664468260511,765,47,106,295,0.878300803673938,0.9421182266009852,0.9090909090909091,812,0.8625730994152047,0.7356608478802993,0.7940780619111709,401
model_fismo_self_008.h5,fismo_self,0.8697444352844188,721,91,67,334,0.9149746192893401,0.8879310344827587,0.90125,812,0.7858823529411765,0.8329177057356608,0.8087167070217917,401
model_fismo_self_009.h5,fismo_self,0.8722176422093982,765,47,108,293,0.8762886597938144,0.9421182266009852,0.9080118694362016,812,0.861764705882353,0.7306733167082294,0.7908232118758435,401
model_fismo_cairfire_000.h5,fismo_cairfire,0.9447004608294931,528,13,23,87,0.9582577132486388,0.9759704251386322,0.9670329670329672,541,0.87,0.7909090909090909,0.8285714285714286,110
model_fismo_cairfire_001.h5,fismo_cairfire,0.9370199692780338,520,21,20,90,0.9629629629629629,0.9611829944547134,0.9620721554116557,541,0.8108108108108109,0.8181818181818182,0.8144796380090498,110
model_fismo_cairfire_002.h5,fismo_cairfire,0.9416282642089093,524,17,21,89,0.9614678899082569,0.9685767097966729,0.9650092081031308,541,0.839622641509434,0.8090909090909091,0.8240740740740742,110
model_fismo_cairfire_003.h5,fismo_cairfire,0.9400921658986175,521,20,19,91,0.9648148148148148,0.9630314232902033,0.9639222941720629,541,0.8198198198198198,0.8272727272727273,0.8235294117647058,110
model_fismo_cairfire_004.h5,fismo_cairfire,0.9308755760368663,528,13,32,78,0.9428571428571428,0.9759704251386322,0.9591280653950953,541,0.8571428571428571,0.7090909090909091,0.7761194029850746,110
model_fismo_cairfire_005.h5,fismo_cairfire,0.946236559139785,529,12,23,87,0.9583333333333334,0.977818853974122,0.9679780420860019,541,0.8787878787878788,0.7909090909090909,0.8325358851674641,110
model_fismo_cairfire_006.h5,fismo_cairfire,0.9477726574500768,531,10,24,86,0.9567567567567568,0.9815157116451017,0.968978102189781,541,0.8958333333333334,0.7818181818181819,0.8349514563106797,110
model_fismo_cairfire_007.h5,fismo_cairfire,0.9416282642089093,523,18,20,90,0.9631675874769797,0.966728280961183,0.9649446494464944,541,0.8333333333333334,0.8181818181818182,0.8256880733944955,110
model_fismo_cairfire_008.h5,fismo_cairfire,0.9370199692780338,529,12,29,81,0.9480286738351255,0.977818853974122,0.9626933575978163,541,0.8709677419354839,0.7363636363636363,0.7980295566502462,110
model_fismo_cairfire_009.h5,fismo_cairfire,0.9416282642089093,523,18,20,90,0.9631675874769797,0.966728280961183,0.9649446494464944,541,0.8333333333333334,0.8181818181818182,0.8256880733944955,110
